Distancia,Carga
12.7497,2.284496
12.79184,2.308586
12.8333,2.328776
12.87463,2.356654
12.91677,2.387915
12.95837,2.414792
12.99997,2.389635
13.04143,2.420381
13.08357,2.435504
13.12463,2.454652
13.1665,2.474254
13.2085,2.502405
13.2497,2.529371
13.29157,2.558729
13.33343,2.589207
13.37477,2.615783
13.41663,2.657196
13.4585,2.686989
13.49997,2.711049
13.54117,2.738167
13.58343,2.759533
13.62517,2.7921
13.66623,2.809364
13.70823,2.857926
13.7501,2.890039
13.7913,2.898714
13.83317,2.921734
13.8753,2.930109
13.9165,2.920168
13.95823,2.915213
14.00023,2.885489
14.00063,2.885598
14.00423,2.663315
