Distancia,Carga
12.62504,2.324884
12.66664,2.318264
12.70877,2.285455
12.74997,2.280929
12.79157,2.293027
12.83357,2.310642
12.87504,2.310413
12.91663,2.308529
12.9585,2.248474
13.00023,2.205064
13.0417,2.177985
13.0833,2.192922
13.1253,2.20557
13.16677,2.183029
13.2081,2.194988
13.2505,2.20796
13.29157,2.210925
13.3333,2.236279
13.37557,2.241157
13.41677,2.249608
13.45823,2.241935
13.50023,2.273183
13.54197,2.261674
13.5833,2.280392
13.62503,2.285647
13.66717,2.296405
13.7081,2.302821
13.74997,2.310408
13.7921,2.326577
13.83303,2.353109
13.87503,2.37203
13.9169,2.390248
13.95837,2.402209
14.00023,2.417963
14.0005,2.418568
14.0009,2.419057
14.00423,2.160871
14.00423,2.089174
